SITE,BLOCK,CULT,sev
PY22,B,DG 9070,1.7
PY22,B,DG 9120,1.7
PY22,B,SH 7200,2
PY22,B,SH 4400,4
PY22,B,SY Richie,2
PY22,B,AGS 2024,1.5
PY22,B,LW2068,1.5
PY22,A,DG Shirley,1.5
PY22,A,USG 3118,2
PY22,A,Agrimaxx 492,6
PY22,A,SY 547,1.5
PY22,A,Jamestown,7
PY22,B,DG Shirley,7
PY22,B,Jamestown,8
PY22,B,SY 547,3
PY22,B,USG 3118,4
PY22,B,Agrimaxx 492,5
KS22,A,LW2068,1
KS22,A,SH 4400,1.5
KS22,A,SH 7200,1
KS22,A,DG 9070,1.2
KS22,A,DG 9120,1.2
KS22,A,USG 3230,0.4
KS22,A,SY Richie,1.5
KS22,A,TURBO,2
KS22,A,Agrimaxx 513,1
KS22,A,AGS 2024,1
KS22,A,Hilliard,1.5
KS22,A,DG 9701,2
KS22,B,DG 9701,3
KS22,B,SY Richie,1.5
KS22,B,Hilliard,1.7
KS22,B,LW2068,NA
KS22,B,TURBO,3
KS22,B,DG 9070,1.7
KS22,B,SH 4400,1
KS22,B,DG 9120,2
KS22,B,AGS 2024,1
KS22,B,Agrimaxx 513,3
KS22,B,USG 3230,0.3
KS22,B,SH 7200,1.5
KS22,A,Agrimaxx 492,2
KS22,A,DG Shirley,2
KS22,A,Jamestown,3
KS22,A,SY 547,1.5
KS22,A,USG 3118,1
KS22,B,Agrimaxx 492,5
KS22,B,DG Shirley,2
KS22,B,Jamestown,1
KS22,B,SY 547,1.5
KS22,B,USG 3118,1.2
OX23,A,SY Richie,25
OX23,A,SH 4400,30
OX23,A,DG 9701,17
OX23,A,SH 7200,30
OX23,A,DG 9120,25
OX23,A,USG 3230,25
OX23,A,DG 9070,22
OX23,A,TURBO,30
OX23,A,Agrimaxx 513,25
OX23,A,Hilliard,25
OX23,A,AGS 2024,20
OX23,A,LW2068,15
OX23,B,Hilliard,15
OX23,B,DG 9120,25
OX23,B,SH 4400,18
OX23,B,AGS 2024,23
OX23,B,LW2068,20
OX23,B,DG 9070,26
OX23,B,USG 3230,17
OX23,B,Agrimaxx 513,20
OX23,B,DG 9701,27
OX23,B,TURBO,30
OX23,B,SH 7200,22
OX23,B,SY Richie,25
OX23,A,SY 547,12
OX23,A,USG 3118,20
OX23,A,Agrimaxx 492,27
OX23,A,DG Shirley,25
OX23,B,Agrimaxx 492,27
OX23,B,SY 547,18
OX23,B,USG 3118,22
OX23,B,DG Shirley,20
KS23,A,DG 9701,12
KS23,A,DG 9120,10
KS23,A,CP9606,8
KS23,A,Hilliard,5
KS23,A,SY Richie,12
KS23,A,AGS 2024,10
KS23,A,SH 4400,10
KS23,A,Jamestown,12
KS23,A,Agrimaxx 513,5
KS23,A,DG 9070,8
KS23,A,TURBO,17
KS23,A,SH 7200,9
KS23,B,TURBO,7
KS23,B,DG 9070,6
KS23,B,DG 9120,11
KS23,B,SH 4400,6
KS23,B,Agrimaxx 513,6
KS23,B,Jamestown,15
KS23,B,AGS 2024,8
KS23,B,Hilliard,10
KS23,B,SH 7200,6
KS23,B,CP9606,8
KS23,B,SY Richie,6
KS23,B,DG 9701,10
KS23,A,SY 547,8
KS23,A,Agrimaxx 492,14
KS23,A,DG Shirley,10
KS23,A,USG 3118,8
KS23,B,USG 3118,8
KS23,B,Agrimaxx 492,14
KS23,B,DG Shirley,10
KS23,B,SY 547,5
PY23,A,SH 4400,7
PY23,A,DG 9070,8
PY23,A,Agrimaxx 513,10
PY23,A,TURBO,10
PY23,A,SH 7200,12
PY23,A,Hilliard,7
PY23,A,DG 9120,8
PY23,A,AGS 2024,12
PY23,A,SY Richie,14
PY23,A,DG 9701,12
PY23,A,LW2068,9
PY23,A,USG 3230,7
PY23,B,SH 4400,8
PY23,B,DG 9701,14
PY23,B,SH 7200,16
PY23,B,LW2068,12
PY23,B,SY Richie,12
PY23,B,DG 9120,10
PY23,B,TURBO,8
PY23,B,DG 9070,7
PY23,B,Hilliard,6
PY23,B,AGS 2024,10
PY23,B,Agrimaxx 513,10
PY23,B,USG 3230,10
PY23,A,SY 547,7
PY23,A,Agrimaxx 492,15
PY23,A,DG Shirley,8
PY23,A,USG 3118,10
PY23,B,Agrimaxx 492,10
PY23,B,USG 3118,12
PY23,B,SY 547,6
PY23,B,DG Shirley,8
UN23,A,SH 4400,16
UN23,A,AGS 2024,7
UN23,A,DG 9070,12
UN23,A,DG 9701,16
UN23,A,CP9606,17
UN23,A,SH 7200,8
UN23,A,SY Richie,10
UN23,A,Agrimaxx 513,10
UN23,A,TURBO,7
UN23,A,Hilliard,10
UN23,A,DG 9120,8
UN23,A,Jamestown,20
UN23,B,SH 7200,NA
UN23,B,DG 9120,NA
UN23,B,CP9606,NA
UN23,B,Jamestown,NA
UN23,B,SY Richie,NA
UN23,B,TURBO,NA
UN23,B,AGS 2024,8
UN23,B,DG 9070,12
UN23,B,Hilliard,8
UN23,B,Agrimaxx 513,12
UN23,B,SH 4400,10
UN23,B,DG 9701,13
UN23,A,SY 547,10
UN23,A,DG Shirley,12
UN23,A,USG 3118,8
UN23,A,Agrimaxx 492,20
UN23,B,SY 547,12
UN23,B,USG 3118,6
UN23,B,DG Shirley,8
UN23,B,Agrimaxx 492,20
SB23,A,DG 9120,35
SB23,A,DG 9701,33
SB23,A,DG 9070,25
SB23,A,TURBO,22
SB23,A,SH 7200,28
SB23,A,SY Richie,25
SB23,A,Agrimaxx 513,20
SB23,A,LW2068,20
SB23,A,AGS 2024,40
SB23,A,USG 3230,17
SB23,A,Hilliard,29
SB23,A,SH 4400,33
SB23,B,SY Richie,20
SB23,B,Agrimaxx 513,17
SB23,B,TURBO,24
SB23,B,DG 9701,33
SB23,B,DG 9120,37
SB23,B,AGS 2024,38
SB23,B,LW2068,18
SB23,B,SH 7200,27
SB23,B,SH 4400,30
SB23,B,USG 3230,22
SB23,B,DG 9070,27
SB23,B,Hilliard,30
SB23,A,DG Shirley,17
SB23,A,Agrimaxx 492,37
SB23,A,USG 3118,30
SB23,A,SY 547,20
SB23,B,Agrimaxx 492,40
SB23,B,SY 547,13
SB23,B,USG 3118,30
SB23,B,DG Shirley,25
LB23,A,AGS 2024,8
LB23,A,SH 7200,12
LB23,A,Hilliard,5
LB23,A,Agrimaxx 513,5
LB23,A,DG 9701,8
LB23,A,TURBO,8
LB23,A,SH 4400,5
LB23,A,DG 9070,7
LB23,A,Jamestown,20
LB23,A,DG 9120,5
LB23,A,SY Richie,4
LB23,A,CP9606,7
LB23,B,DG 9120,5
LB23,B,SH 7200,10
LB23,B,SY Richie,6
LB23,B,CP9606,6
LB23,B,Agrimaxx 513,4
LB23,B,DG 9070,6
LB23,B,SH 4400,4
LB23,B,Hilliard,4
LB23,B,TURBO,3
LB23,B,AGS 2024,7
LB23,B,DG 9701,9
LB23,B,Jamestown,17
LB23,A,Agrimaxx 492,12
LB23,A,SY 547,3
LB23,A,DG Shirley,8
LB23,A,USG 3118,5
LB23,B,USG 3118,8
LB23,B,SY 547,5
LB23,B,DG Shirley,8
LB23,B,Agrimaxx 492,12
AL24,A,Jamestown,35
AL24,A,AGS 2024,27
AL24,A,SY Richie,19
AL24,A,CP9606,22
AL24,A,TURBO,22
AL24,A,Agrimaxx 513,17
AL24,A,DG 9070,21
AL24,A,SH 7200,17
AL24,A,DG 9701,27
AL24,A,Hilliard,20
AL24,A,DG 9120,22
AL24,A,SH 4400,17
AL24,B,SH 4400,19
AL24,B,TURBO,24
AL24,B,Agrimaxx 513,19
AL24,B,DG 9701,26
AL24,B,SY Richie,24
AL24,B,Hilliard,18
AL24,B,CP9606,24
AL24,B,Jamestown,33
AL24,B,DG 9070,24
AL24,B,SH 7200,20
AL24,B,DG 9120,25
AL24,B,AGS 2024,22
AL24,B,USG 3118,24
AL24,B,Agrimaxx 492,35
AL24,B,SY 547,22
AL24,B,DG Shirley,20
AL24,A,Agrimaxx 492,33
AL24,A,SY 547,22
AL24,A,USG 3118,20
AL24,A,DG Shirley,20
BE24,A,TURBO,7
BE24,A,Agrimaxx 513,2
BE24,A,DG 9120,3
BE24,A,DG 9701,3.5
BE24,A,LW2068,2
BE24,A,SH 4400,4
BE24,A,Hilliard,2
BE24,A,SY Richie,5
BE24,A,AGS 2024,5
BE24,A,DG 9070,1.5
BE24,A,SH 7200,4.5
BE24,A,USG 3230,3
BE24,B,DG 9701,2.7
BE24,B,Hilliard,4
BE24,B,TURBO,6
BE24,B,AGS 2024,5
BE24,B,DG 9120,4
BE24,B,Agrimaxx 513,1.5
BE24,B,SH 4400,3
BE24,B,LW2068,2
BE24,B,SH 7200,5
BE24,B,SY Richie,5.5
BE24,B,DG 9070,2
BE24,B,USG 3230,3
BE24,B,SY 547,3
BE24,B,USG 3118,5
BE24,B,DG Shirley,3
BE24,B,Agrimaxx 492,7
BE24,A,SY 547,3
BE24,A,USG 3118,6
BE24,A,Agrimaxx 492,6.5
BE24,A,DG Shirley,4.5
KS24,A,AGS 2024,9
KS24,A,Agrimaxx 513,7
KS24,A,CP9606,9
KS24,A,SY Richie,10
KS24,A,DG 9701,8
KS24,A,DG 9120,6
KS24,A,SH 4400,5
KS24,A,Jamestown,15
KS24,A,Hilliard,10
KS24,A,SH 7200,8
KS24,A,TURBO,8
KS24,A,DG 9070,8
KS24,B,SY Richie,15
KS24,B,DG 9701,8
KS24,B,AGS 2024,7
KS24,B,Jamestown,13
KS24,B,DG 9120,10
KS24,B,SH 7200,10
KS24,B,CP9606,6
KS24,B,Hilliard,12
KS24,B,DG 9070,8
KS24,B,TURBO,8
KS24,B,SH 4400,7
KS24,B,Agrimaxx 513,8.5
KS24,A,DG Shirley,12
KS24,A,Agrimaxx 492,17
KS24,A,USG 3118,10
KS24,A,SY 547,12
KS24,B,Agrimaxx 492,15
KS24,B,DG Shirley,8
KS24,B,USG 3118,6
KS24,B,SY 547,6
LB24,A,DG 9070,12
LB24,A,SY Richie,15
LB24,A,SH 4400,12
LB24,A,AGS 2024,25
LB24,A,DG 9701,20
LB24,A,Jamestown,27
LB24,A,DG 9120,12
LB24,A,Agrimaxx 513,14
LB24,A,CP9606,16
LB24,A,TURBO,15
LB24,A,SH 7200,10
LB24,A,Hilliard,10
LB24,B,DG 9070,14
LB24,B,TURBO,20
LB24,B,SH 7200,11
LB24,B,Agrimaxx 513,12
LB24,B,Jamestown,27
LB24,B,SY Richie,15
LB24,B,DG 9120,12
LB24,B,CP9606,17
LB24,B,DG 9701,20
LB24,B,AGS 2024,20
LB24,B,SH 4400,10
LB24,B,Hilliard,10
LB24,A,Agrimaxx 492,30
LB24,A,USG 3118,15
LB24,A,DG Shirley,20
LB24,A,SY 547,12
LB24,B,SY 547,10
LB24,B,Agrimaxx 492,27
LB24,B,USG 3118,14
LB24,B,DG Shirley,17
RO24,A,CP9606,4
RO24,A,TURBO,5
RO24,A,Jamestown,8
RO24,A,SY Richie,5.5
RO24,A,Agrimaxx 513,3
RO24,A,DG 9070,2
RO24,A,DG 9701,3.5
RO24,A,SH 4400,5
RO24,A,SH 7200,2.5
RO24,A,Hilliard,2
RO24,A,DG 9120,4.5
RO24,A,AGS 2024,2
RO24,B,Hilliard,1.9
RO24,B,Jamestown,6.5
RO24,B,SH 7200,3
RO24,B,Agrimaxx 513,4
RO24,B,TURBO,5
RO24,B,DG 9701,4
RO24,B,SY Richie,4
RO24,B,SH 4400,5
RO24,B,DG 9120,6.2
RO24,B,AGS 2024,2
RO24,B,DG 9070,4
RO24,B,CP9606,3.5
RO24,A,SY 547,4
RO24,A,DG Shirley,4
RO24,A,USG 3118,5
RO24,A,Agrimaxx 492,8
RO24,B,SY 547,3.5
RO24,B,DG Shirley,5
RO24,B,USG 3118,4.5
RO24,B,Agrimaxx 492,8.7
SB24,A,AGS 2024,16
SB24,A,DG 9070,19
SB24,A,SH 7200,22
SB24,A,Hilliard,12
SB24,A,Agrimaxx 513,19
SB24,A,TURBO,12
SB24,A,SY Richie,12
SB24,A,DG 9120,22
SB24,A,USG 3230,12
SB24,A,SH 4400,12
SB24,A,DG 9701,19
SB24,A,LW2068,15
SB24,B,Hilliard,11
SB24,B,Agrimaxx 513,16
SB24,B,SH 7200,19
SB24,B,DG 9701,19
SB24,B,SH 4400,11.5
SB24,B,TURBO,14
SB24,B,SY Richie,15
SB24,B,DG 9070,19
SB24,B,AGS 2024,17
SB24,B,USG 3230,12
SB24,B,DG 9120,18
SB24,B,LW2068,17
SB24,A,USG 3118,14
SB24,A,Agrimaxx 492,22
SB24,A,DG Shirley,12
SB24,A,SY 547,14
SB24,B,SY 547,15
SB24,B,USG 3118,12
SB24,B,DG Shirley,15
SB24,B,Agrimaxx 492,23
